surv_ques,trial_id,task_inst,stim,count_ques,corr_answer,survey_trials.thisRepN,survey_trials.thisTrialN,survey_trials.thisN,survey_trials.thisIndex,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,survey_resp.response,key_resp_val.started,calib_text.started,calib_resp.started,calib_resp.keys,calib_resp.rt,task_resp_slider.response,difficult_rate_slider.response,participant,gender,Year of birth,Do you own a pet?,Would you consider adopting a pet?,date,expName,psychopyVersion,frameRate,
How hungry are you?,,,,,,0,0,0,1,,,,,,,,,5.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
How much do you like dogs?,,,,,,0,1,1,3,,,,,,,,,3.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
How much do you like cats?,,,,,,0,2,2,2,,,,,,,,,3.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
Would you like to adopt a pet some time in the future?,,,,,,0,3,3,5,,,,,,,,,2.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
How much do you like animals?,,,,,,0,4,4,4,,,,,,,,,4.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
How much do you like snacking?,,,,,,0,5,5,0,,,,,,,,,4.0,,,,,,,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,,,,,,,,,,0,0,0,0,,,,,,68.32520190000014,90.54792689999977,90.54792689999977,['n'],[1.7561015000001134],,,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t05,instructions\count_animals.png,stimuli\dog_ice_cream_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,0,0,4,,,,,,,10.0,5.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t07,instructions\count_animals.png,stimuli\dog_toast_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,1,1,6,,,,,,,7.0,3.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t02,instructions\count_animals.png,stimuli\cats_bread_2_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,2,2,1,,,,,,,8.0,1.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t13,instructions\count_food.png,stimuli\dog_bagel_1920x1080.jpg,How many pictures with food items did you count?,8,,,,,,,,,0,3,3,12,,,,,,,7.0,1.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t08,instructions\count_animals.png,stimuli\owl_apple_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,4,4,7,,,,,,,8.0,1.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t14,instructions\count_food.png,stimuli\dog_ice_cream_1920x1080.jpg,How many pictures with food items did you count?,8,,,,,,,,,0,5,5,13,,,,,,,3.0,5.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t16,instructions\count_food.png,stimuli\dog_toast_1920x1080.jpg,How many pictures with food items did you count?,8,,,,,,,,,0,6,6,15,,,,,,,8.0,1.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t01,instructions\count_animals.png,stimuli\cats_bread_1_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,7,7,0,,,,,,,7.0,4.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
,t06,instructions\count_animals.png,stimuli\dog_KFC_1920x1080.jpg,How many pictures with animals did you count?,8,,,,,,,,,0,8,8,5,,,,,,,8.0,1.0,P01,male,1991,no,no,2023-01-12_18h24.35.908,FoodAnimal,2022.2.4,59.94201209748111,
